id,text,archetype,category_role,category_group,datetime,discovered_topic
1769603416.661669,Reminder: @S08KGHVFHUN Hacer cierre contable de cuentas recaudadoras. [Acá](https://www.notion.so/fintoc/Cierres-contables-v-a-Ledger-2880ff41a1e98032876af54dac9a307f?source=copy_link) la guía.,Reminder (Automático),bot,Bots,2026-01-28 12:30:16.661,0
1769603413.910069,Reminder: @S095YD2KQ4S hacer proceso de [nómina Unired](https://www.notion.so/fintoc/Subir-n-mina-Unired-30a1189fbcb34c2b9d988d3c5347e998),Reminder (Automático),bot,Bots,2026-01-28 12:30:13.910,9
1769602982.373059,:ojito:,Sin Clasificar,unknown,Otros,2026-01-28 12:23:02.373,-1
1769602241.660539,"@S095YD2KQ4S :infra-alert: Me ayudan a cancelar este [refund](http://admin.prd.fin/refunds/ref_qWVOJAPHklYrn345) pliss, El problema es que ya está en `Waiting User Disbursal Result` (Es de Mexico, las devoluciones se hacen temprano) :pray-intensifies:",Sin Clasificar,support,Soporte,2026-01-28 12:10:41.660,-1
1769548687.949189,@S095YD2KQ4S kushki todavia no aprueba los merchants que mande? En general lo estan revisando o llega una notificacion? para no venir a molestar jajaja,Sin Clasificar,merchant,Merchants Kushki,2026-01-27 21:18:07.949,6
1769547612.910959,Reminder: @S095YD2KQ4S Revisar [este](https://fintoc.retool.com/apps/96f7bd9e-76c0-11f0-804e-87bc9964caf6/Ops%20Collection/Ops%20Collection%20Tools/page1) dashboard (pestaña Daily Tasks) antes de cerrar el día.,Reminder (Automático),bot,Bots,2026-01-27 21:00:12.910,4
1769546105.036719,:pepe-alarm: Refund [ref_OEKezbKHlkv6nYpm](http://admin.prd.fin/refunds/153398) has failed disbursal and needs retry,Sin Clasificar,unknown,Otros,2026-01-27 20:35:05.036,12
1769545812.092949,Reminder: @S095YD2KQ4S hacer pago de payouts a merchants y refunds ([paso a paso](https://www.notion.so/Dispersi-n-de-payouts-a-merchants-12e0ff41a1e98011ae70f1eb7033ae25?pvs=24#12e0ff41a1e980e792fbde1905fac6fc)),Reminder (Automático),bot,Bots,2026-01-27 20:30:12.092,0
1769538998.838409,"@S095YD2KQ4S me ayudas con esta duda pliss (quizás @mateo :mateo-yells-at-kushki: sabe)
&gt; Quería preguntar por un reembolso si ya está reflejado en la cancelación de las cuotas del banco del cliente.
• [PI](http://admin.prd.fin/payments/pi_35hFi7KzDASehSX7xCTCJOFtsuj) ",Sin Clasificar,support,Soporte,2026-01-27 18:36:38.838,0
1769535024.378059,"Reminder: @S095YD2KQ4S descargar [nómina de cargos](http://admin.prd.fin/charge_batches), subirla al [banco](https://login.portalempresas.bancochile.cl/bancochile-web/empresa/login/index.html#/login) y cambiar el estado del batch a waiting_paysheet_result ([paso a paso)](https://www.notion.so/fintoc/Subir-n-mina-de-cargos-9b9f67db366c4b649af85b3cb595c43a?source=copy_link)",Reminder (Automático),bot,Bots,2026-01-27 17:30:24.378,0
1769528981.688929,@S095YD2KQ4S me ayudas con este [refund](http://admin.prd.fin/payments/108579608) de BNPL porfa? Esperemos bancame cumpla su SLA de 12 horas xd,Sin Clasificar,kam,KAMs,2026-01-27 15:49:41.688,0
1769527359.725729,"@S095YD2KQ4S me ayudas porfa añadiendo este recipient account a esta organización, [LEVI STRAUSS CHILE LIMITADA](http://admin.prd.fin/organizations/org_br5LkzDFE2WMmA4l):
Banco Santander
Cuenta corriente
74969666",Tareas Operacionales Generales,kam,KAMs,2026-01-27 15:22:39.725,0
1769526020.239509,Reminder: @S095YD2KQ4S mover plata de Banco Estado al Security ([paso a paso](https://www.notion.so/fintoc/Subir-n-minas-Banco-Estado-Banco-Security-12e0ff41a1e9807f8dc1f11009203836)),Reminder (Automático),bot,Bots,2026-01-27 15:00:20.239,2
1769525787.839579,"Holi @S095YD2KQ4S, me ayudas a revisar si realmente nos llegó este pago a nuestra cuenta BE pliss. gracias!
• [http://admin.prd.fin/payments/116785294](http://admin.prd.fin/payments/116785294)",Sin Clasificar,support,Soporte,2026-01-27 14:56:27.839,0
